GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "06003","Alpine, CA",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",105,122,(D),113,100,31,17,27,144,146,110,0,116,71,(D),(D),(D),(D),(D)
 "06003","Alpine, CA",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",629,632,460,119,75,104,85,105,134,170,48,5,37,31,493,(D),(D),(D),51
 "06003","Alpine, CA",8,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",(D),(D),303,452,441,700,520,496,549,(D),(D),3398,(D),1350,917,398,37,0,0
 "06003","Alpine, CA",8,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",2011,1957,1201,799,(D),(D),(D),(D),(D),857,(D),525,596,714,800,795,758,(D),(D)
 "06003","Alpine, CA",8,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",(D),(D),11,9,7,4,0,4,7,10,12,(D),(D),(D),(D),(D),142,63,68
 "06003","Alpine, CA",8,CAGDP2,45,"51","  Information","Thousands of dollars",(D),367,284,36,68,199,152,107,101,649,184,77,441,258,(D),(D),(D),(D),(D)
 "06003","Alpine, CA",8,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",11434,12246,12935,14128,15384,23903,25199,25554,25099,(D),25414,24298,27265,30391,35657,37235,39869,41976,55785
 "06003","Alpine, CA",8,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",(D),(D),67,87,84,21,0,0,0,(D),14,0,28,19,0,3,0,0,0
 "06003","Alpine, CA",8,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",(D),(D),12868,14041,15300,23882,25199,25554,25099,25496,25400,24298,27238,30373,35657,37232,39869,41976,55785
 "06003","Alpine, CA",8,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",(D),338,(D),(D),(D),813,981,(D),(D),(D),16615,21004,20010,20640,21150,20101,19685,20871,21183
 "06003","Alpine, CA",8,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",(D),272,275,250,(D),377,(D),(D),(D),(D),(D),(D),(D),20250,(D),(D),(D),(D),(D)
 "06003","Alpine, CA",8,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "06003","Alpine, CA",8,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",60,66,(D),(D),239,436,(D),(D),(D),(D),(D),(D),(D),391,(D),(D),(D),(D),(D)
 "06003","Alpine, CA",8,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",1196,1086,1044,972,965,(D),(D),1116,1042,(D),924,(D),1455,923,1008,996,905,739,830
 "06003","Alpine, CA",8,CAGDP2,69,"61","   Educational services","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),78,(D),12,13,87,69,110,122,126,0,0
 "06003","Alpine, CA",8,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),964,(D),913,(D),1368,854,898,874,779,739,830
 "06003","Alpine, CA",8,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",26843,29132,29332,(D),27708,30898,32408,30336,28609,31027,28083,25127,21129,30713,31100,30710,30021,(D),31401
 "06003","Alpine, CA",8,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",(D),8742,(D),(D),(D),5752,7745,5833,6599,(D),6860,8438,7706,(D),(D),(D),(D),(D),(D)
 "06003","Alpine, CA",8,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",(D),20389,(D),20815,(D),25145,24663,24502,22010,(D),21223,16689,13422,(D),(D),(D),(D),(D),(D)
 "06003","Alpine, CA",8,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",1162,1307,(D),1612,(D),(D),(D),(D),1534,(D),(D),(D),(D),(D),(D),1389,1237,(D),(D)
 "06003","Alpine, CA",8,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",8632,9636,11874,13907,14725,15697,17395,18870,17671,17726,18733,19042,21332,21708,22715,22842,19796,19694,20880
 "06003","Alpine, CA",8,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",(D),(D),402,(D),(D),(D),312,53,0,110,9,40,(D),38,(D),118,112,0,0
 "06003","Alpine, CA",8,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",(D),(D),1504,1251,(D),(D),(D),(D),(D),(D),2782,3924,(D),2063,1718,1193,795,(D),(D)
 "06003","Alpine, CA",8,CAGDP2,89,"...","Transportation and utilities","Thousands of dollars",(D),(D),457,516,290,393,396,337,(D),284,(D),(D),(D),(D),(D),(D),(D),421,513
 "06003","Alpine, CA",8,CAGDP2,90,"...","Manufacturing and information","Thousands of dollars",(D),1121,(D),268,243,334,254,239,379,965,343,82,593,360,2226,2777,2673,878,614
 "06003","Alpine, CA",8,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),4451,5956,3205,2134,(D),(D),2533,(D),(D),1352,(D),(D)
 "06003","Alpine, CA",8,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),61007,59284,63958,75724,(D),(D),86767,(D),(D),95400,(D),(D)
 "06005","Amador, CA",8,CAGDP2,1,"...","All industry total","Thousands of dollars",951383,1105763,1231903,1324620,1362985,1498457,1509026,1473652,1447132,1428232,1443179,1398967,1491459,1578560,1665400,1744001,1823491,1901466,2067676
 "06005","Amador, CA",8,CAGDP2,2,"..."," Private industries","Thousands of dollars",743025,867453,965132,1014187,1037173,1150160,1113068,1053092,1042943,1047255,1076776,1048413,1137139,1214874,1269843,1329115,1392977,1457341,1614103
 "06005","Amador, CA",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",(D),11043,11459,(D),12984,8065,(D),(D),(D),8881,(D),(D),31230,28863,24455,18257,15799,18671,22283
 "06005","Amador, CA",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",6241,8217,16043,29133,26674,35866,32452,28784,32570,26776,27310,32681,24716,15273,10289,12780,15853,19570,36189
 "06005","Amador, CA",8,CAGDP2,10,"22","  Utilities","Thousands of dollars",44247,93373,92175,79889,97392,109122,66621,70847,(D),(D),(D),(D),101108,90062,(D),(D),(D),(D),(D)
 "06005","Amador, CA",8,CAGDP2,11,"23","  Construction","Thousands of dollars",51068,57714,61801,69235,72721,79024,72238,60556,63172,79128,65775,55435,58267,108743,124682,75925,70894,109373,102430
 "06005","Amador, CA",8,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",56713,54358,58969,60192,56419,57814,54630,54093,55628,61322,75974,88396,117626,131588,154540,174912,185414,179377,184396
 "06005","Amador, CA",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",24076,25349,26459,25571,24490,24732,23399,23279,19287,21179,22362,24787,26577,24267,26650,22387,27025,28266,29221
 "06005","Amador, CA",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",32637,29009,32510,34621,31928,33082,31231,30814,36341,40143,53611,63608,91049,107321,127890,152525,158390,151111,155175
 "06005","Amador, CA",8,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",17482,18802,17417,14137,13071,12542,11700,11241,(D),(D),(D),(D),16160,12482,(D),(D),(D),(D),(D)
 "06005","Amador, CA",8,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",195397,215802,227289,239343,242763,249844,237906,184902,135745,117284,97020,85022,87474,88897,93965,95158,100396,103071,107887
 "06005","Amador, CA",8,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),9956,9907,10727,12344,17175,13267,13501,13458,14630,14976,15896
 "06005","Amador, CA",8,CAGDP2,45,"51","  Information","Thousands of dollars",21725,19955,20338,25065,28767,30735,32540,30562,25972,27485,26844,29928,37386,42750,51531,58956,60653,59968,64709
 "06005","Amador, CA",8,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",162725,189530,206286,207542,217748,292451,313148,305632,293983,295739,294975,290068,316830,348870,366768,389411,417323,442663,539340
 "06005","Amador, CA",8,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",29263,36205,40440,32651,30488,34524,32594,30601,36441,40051,41381,38856,36442,41918,42325,43770,47988,48283,45418
 "06005","Amador, CA",8,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",133462,153325,165846,174891,187259,257927,280554,275031,257542,255688,253594,251212,280389,306951,324444,345641,369336,394381,493923
 "06005","Amador, CA",8,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",59384,68815,119159,125136,118279,(D),122876,136582,148124,144388,158390,154795,168611,163143,163144,161787,171767,178114,181457
